App,Package,Start Time,Duration,Filename
"Messenger",com.facebook.orca,"Apr 19, 2017 @ 03:45:29 PM","1 min 10 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Mobile Data State",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1440000,1,31,2,0,2,1440000,4,20,4,1440000,6,17,9,0,10,1440000,12,11,12,633600,14,12,15,549987,15,633600,17,8,17,0,18,0,19,0,
100,1440000,102,75,87,3,103,1440000,106,50,107,1440000,113,60,114,0,114,1440000,116,45,116,633600,118,0,118,1464682,121,633600,127,0,88,0,128,0,128,0,
151,1440000,152,80,97,3,153,1440000,154,80,155,1440000,157,71,158,0,158,1440000,160,100,161,633600,162,40,163,2157815,163,633600,165,0,127,0,166,0,166,0,
251,1440000,253,50,103,3,254,1440000,256,50,256,1440000,258,33,259,0,260,1440000,261,100,262,633600,264,0,264,1469577,264,633600,266,0,165,0,267,0,267,0,
353,1440000,357,44,152,3,357,1440000,359,33,359,1440000,361,30,361,0,362,1440000,363,80,364,633600,366,9,366,1195226,366,633600,368,10,266,0,369,0,369,0,
453,1440000,455,55,253,3,456,1440000,458,50,458,1440000,460,50,461,0,461,1440000,463,27,464,633600,466,30,466,1218042,466,633600,468,0,368,0,469,0,470,0,
553,1440000,556,66,357,3,557,1440000,558,75,559,1440000,560,81,561,0,561,1440000,563,30,564,633600,565,0,565,1589414,566,633600,568,0,469,0,570,0,573,0,
654,1440000,656,72,455,3,656,1440000,659,81,660,1440000,661,81,662,0,663,1440000,664,33,665,633600,666,33,666,1741881,666,633600,668,0,569,0,668,0,669,0,
755,1440000,757,41,556,3,758,1440000,759,30,760,1440000,761,22,762,0,763,1440000,765,0,765,633600,767,0,767,586569,767,633600,769,0,668,0,770,0,770,0,
856,1248000,859,20,656,3,861,1248000,865,20,865,1440000,867,27,868,0,868,1440000,873,0,873,633600,875,0,875,369774,876,633600,877,0,769,0,878,0,879,0,
957,1440000,958,30,711,6,959,1440000,960,30,961,1440000,962,0,963,0,964,1440000,966,0,966,633600,968,0,968,378432,969,633600,972,0,878,0,973,0,974,0,
1059,1248000,1061,27,757,6,1062,1248000,1064,27,1064,1248000,1066,10,1066,0,1067,1248000,1069,8,1069,633600,1071,0,1071,359064,1073,633600,1074,0,973,0,1075,0,1076,0,
1159,1248000,1161,20,860,6,1161,1248000,1163,22,1163,1248000,1165,11,1166,0,1166,1248000,1168,0,1168,633600,1170,0,1170,264311,1171,633600,1173,0,1075,0,1174,0,1174,0,
1260,1248000,1262,11,959,6,1263,1248000,1264,30,1265,1248000,1267,0,1267,0,1268,1248000,1269,0,1270,633600,1272,0,1273,204467,1273,633600,1275,0,1173,0,1276,0,1276,0,
1361,1248000,1363,20,1062,6,1364,1248000,1367,36,1367,1248000,1369,18,1371,0,1373,1248000,1376,18,1377,633600,1379,9,1379,474584,1379,633600,1382,0,1275,0,1382,0,1383,0,
1461,1440000,1463,40,1161,6,1463,1440000,1465,40,1465,1440000,1466,77,1467,0,1467,1440000,1469,0,1469,633600,1471,0,1471,990230,1472,633600,1473,45,1382,0,1474,0,1474,0,
1562,960000,1564,37,1262,6,1565,960000,1567,11,1567,960000,1569,10,1570,0,1570,960000,1572,9,1573,633600,1575,0,1575,298872,1576,633600,1577,0,1473,0,1578,0,1579,0,
1663,864000,1665,45,1363,6,1666,864000,1668,11,1668,864000,1670,30,1671,0,1672,864000,1674,0,1674,633600,1676,0,1677,239853,1677,633600,1679,0,1578,0,1680,0,1681,0,
1765,384000,1769,0,1463,6,1772,384000,1774,18,1775,960000,1777,22,1778,0,1778,960000,1780,0,1781,633600,1783,0,1783,87906,1784,633600,1786,0,1679,0,1787,0,1788,0,
1865,960000,1867,30,1564,6,1868,960000,1870,22,1871,960000,1873,30,1874,0,1874,960000,1876,0,1876,633600,1878,0,1878,269222,1878,633600,1880,0,1786,0,1881,0,1881,0,
1966,460800,1970,20,1665,6,1971,460800,1975,20,1976,600000,1979,18,1981,0,1981,600000,1985,0,1985,633600,1989,0,1989,73794,1990,633600,1993,0,1880,0,1994,0,1995,0,
