Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],Mobile Data State,Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],Screen Brightness,Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Status,Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1440000,2,29,2,0,3,1440000,5,23,5,1440000,7,18,8,0,8,1440000,10,10,10,633600,12,13,12,527368,13,633600,15,0,15,0,16,0,16,0
101,1440000,103,44,103,0,104,1440000,105,50,106,1440000,108,33,109,0,110,1440000,112,27,113,633600,115,0,115,971308,115,633600,117,0,117,0,118,0,119,0
203,1440000,208,88,118,3,209,1440000,210,55,211,1440000,213,77,214,0,214,1440000,216,11,217,633600,218,10,219,1474496,219,633600,221,9,119,0,222,0,223,0
302,1440000,304,80,126,3,305,1440000,307,62,308,1440000,309,70,310,0,311,1440000,313,37,313,633600,315,10,315,1603805,316,633600,318,0,221,0,319,0,320,0
403,1440000,404,50,208,3,405,1440000,406,90,407,1440000,409,54,409,0,410,1440000,411,22,412,633600,413,0,413,1362355,414,633600,415,0,318,0,416,0,417,0
503,1440000,505,22,304,3,506,1440000,508,22,508,1440000,510,30,511,0,511,1440000,513,11,514,633600,516,18,516,567671,516,633600,517,0,416,0,518,0,519,0
604,1440000,606,37,404,3,606,1440000,609,40,610,1440000,612,50,612,0,613,1440000,615,0,615,633600,617,0,617,801014,618,633600,619,0,518,0,620,0,621,0
708,1440000,712,80,505,3,713,1440000,716,66,716,1440000,719,77,721,0,723,1440000,724,25,725,633600,726,44,726,1641330,727,633600,729,0,620,0,731,0,732,0
805,1440000,807,70,606,3,807,1440000,809,66,809,1440000,810,60,811,0,811,1440000,813,0,813,633600,814,33,815,1294070,815,633600,816,0,730,0,817,0,817,0
906,1440000,907,10,712,3,908,1440000,909,22,910,1440000,911,0,912,0,912,1440000,913,0,914,633600,916,0,916,201830,917,633600,918,0,817,0,919,0,919,0
1007,1248000,1008,22,807,3,1009,1248000,1010,22,1011,1248000,1013,0,1014,0,1014,1248000,1016,9,1016,633600,1018,0,1018,264311,1019,633600,1021,0,918,0,1022,0,1022,0
1107,1248000,1109,30,908,3,1110,1248000,1111,18,1112,1248000,1113,11,1114,0,1114,1248000,1116,0,1116,633600,1118,0,1118,294233,1118,633600,1120,0,1021,0,1121,0,1121,0
1208,1248000,1210,30,1002,4,1210,1248000,1212,20,1212,1248000,1214,10,1214,0,1215,1248000,1216,0,1217,633600,1218,0,1219,299220,1219,633600,1220,0,1120,0,1221,0,1222,0
1309,1440000,1311,20,1009,4,1311,1440000,1313,11,1313,1440000,1314,11,1315,0,1315,1440000,1317,0,1317,633600,1318,0,1319,264902,1319,633600,1320,0,1221,0,1321,0,1322,0
1410,960000,1412,20,1109,4,1413,960000,1415,18,1415,960000,1417,33,1418,0,1418,960000,1420,0,1421,633600,1423,0,1424,233107,1424,633600,1426,0,1320,0,1427,0,1427,0
1511,460800,1515,11,1210,4,1516,460800,1520,30,1521,460800,1526,30,1527,0,1528,600000,1532,0,1532,633600,1535,0,1535,79227,1536,633600,1538,0,1426,0,1540,0,1540,0
1612,384000,1616,55,1311,4,1618,460800,1621,22,1623,460800,1627,44,1628,0,1629,460800,1633,0,1633,633600,1637,0,1637,121547,1638,633600,1641,0,1539,0,1642,0,1642,0
1713,960000,1718,33,1412,4,1719,960000,1723,30,1724,960000,1726,11,1726,0,1727,960000,1729,0,1729,633600,1732,0,1732,242956,1732,633600,1735,0,1641,0,1735,0,1736,0
1814,960000,1817,33,1515,4,1818,960000,1822,22,1823,960000,1826,36,1827,0,1828,960000,1830,0,1831,633600,1832,10,1833,316304,1833,633600,1835,0,1735,0,1836,0,1836,0
1915,1248000,1917,60,1617,4,1918,1248000,1921,55,1922,1248000,1925,44,1926,0,1927,1248000,1929,20,1929,633600,1932,0,1932,892674,1933,633600,1935,0,1835,0,1935,0,1936,0
2016,1248000,2018,40,1718,4,2018,1248000,2021,44,2021,1248000,2024,30,2026,0,2026,960000,2029,20,2030,633600,2032,0,2032,634182,2033,633600,2035,0,1935,0,2036,0,2037,0
2117,1440000,2118,37,1818,4,2119,1440000,2121,44,2121,1440000,2124,11,2125,0,2126,1440000,2128,22,2129,633600,2130,0,2130,719020,2131,633600,2132,0,2035,0,2133,0,2134,0
2218,1440000,2225,20,1917,4,2226,1440000,2229,27,2230,1440000,2233,27,2234,0,2235,1440000,2240,9,2241,633600,2243,0,2243,523497,2243,633600,2245,0,2133,0,2246,0,2246,0
2318,1440000,2322,77,2018,4,2324,1440000,2326,66,2326,1440000,2328,66,2330,0,2331,1440000,2333,11,2333,633600,2334,0,2335,1387584,2335,633600,2340,20,2245,0,2341,0,2342,0
2419,1440000,2420,72,2119,4,2421,1440000,2422,60,2423,1440000,2424,90,2425,0,2425,1440000,2427,33,2428,633600,2430,11,2430,1662688,2430,633600,2432,11,2340,0,2433,0,2433,0
2520,1440000,2522,44,2225,4,2523,1440000,2525,50,2525,1440000,2528,60,2529,0,2529,1440000,2531,36,2532,633600,2533,100,2534,1392984,2534,633600,2536,100,2432,0,2538,0,2539,0
2622,1440000,2624,62,2322,4,2625,1440000,2626,50,2627,1440000,2629,66,2629,0,2630,1440000,2631,50,2632,633600,2634,50,2634,1701036,2634,633600,2636,60,2536,0,2638,0,2639,0
2724,1440000,2726,60,2420,4,2727,1440000,2729,22,2730,1440000,2731,40,2732,0,2732,1440000,2734,16,2734,633600,2738,0,2738,975591,2739,633600,2740,0,2637,0,2742,0,2742,0
2824,1440000,2826,55,2522,4,2826,1440000,2828,30,2829,1440000,2830,30,2831,0,2831,1440000,2833,0,2833,633600,2835,0,2835,725328,2836,633600,2838,0,2741,0,2839,0,2839,0
2925,1248000,2927,36,2625,4,2927,1248000,2929,36,2930,1248000,2931,22,2932,0,2932,1248000,2934,40,2934,633600,2936,0,2936,668259,2937,633600,2938,0,2838,0,2939,0,2940,0
3025,1248000,3028,0,2726,4,3029,1248000,3030,10,3031,1248000,3032,30,3033,0,3034,1248000,3036,27,3036,633600,3038,0,3038,334129,3039,633600,3041,0,2939,0,3042,0,3043,0
3126,1248000,3129,22,2826,4,3130,1248000,3131,11,3132,1248000,3134,40,3135,0,3135,1248000,3137,12,3138,633600,3140,0,3140,423895,3140,633600,3142,0,3041,0,3143,0,3143,0
3227,1248000,3229,41,2927,4,3230,1248000,3232,33,3232,1248000,3234,10,3235,0,3236,1248000,3239,0,3239,633600,3241,0,3242,418908,3242,633600,3244,0,3142,0,3245,0,3245,0
3329,1440000,3331,0,3028,4,3332,1440000,3334,20,3335,1440000,3337,33,3338,0,3338,1440000,3340,9,3341,633600,3343,0,3343,391046,3343,633600,3346,0,3244,0,3347,0,3348,0
3430,1248000,3432,20,3129,4,3433,1248000,3435,22,3436,1248000,3439,18,3440,0,3441,1248000,3443,0,3443,633600,3445,0,3446,299220,3446,633600,3448,0,3347,0,3449,0,3449,0
3530,1248000,3532,12,3230,4,3533,1248000,3535,27,3536,1248000,3538,20,3539,0,3540,1248000,3542,0,3543,633600,3544,0,3545,294233,3545,633600,3547,0,3448,0,3548,0,3548,0
3631,1248000,3633,20,3332,4,3634,1248000,3636,30,3637,1248000,3639,11,3640,0,3641,1440000,3643,0,3644,633600,3647,0,3647,304207,3648,633600,3650,0,3547,0,3650,0,3651,0
3732,1440000,3734,45,3432,4,3737,1440000,3751,40,3756,1440000,3758,50,3759,0,3759,1440000,3761,16,3762,633600,3765,0,3765,952387,3765,633600,3767,0,3650,0,3769,0,3770,0
3832,1440000,3834,88,3532,4,3840,1440000,3842,100,3843,1440000,3846,88,3846,0,3847,1440000,3848,14,3849,633600,3850,25,3850,1872920,3851,633600,3853,11,3768,0,3854,0,3855,0
3933,1440000,3934,88,3633,4,3935,1440000,3937,50,3937,1440000,3939,63,3940,0,3941,1440000,3943,12,3943,633600,3945,10,3945,1380252,3946,633600,3948,0,3853,0,3948,0,3949,0
4034,1440000,4036,72,3734,4,4037,1440000,4039,70,4040,1440000,4042,70,4043,0,4044,1440000,4046,44,4047,633600,4049,33,4050,1672502,4051,633600,4054,0,3948,0,4055,0,4055,0
4138,1440000,4140,87,3838,4,4141,1440000,4143,72,4144,1440000,4146,80,4146,0,4147,1440000,4149,77,4150,633600,4152,50,4152,2080740,4153,633600,4154,40,4054,0,4155,0,4156,0
4235,1440000,4237,90,3935,4,4237,1440000,4239,100,4239,1440000,4241,100,4241,0,4242,1440000,4243,100,4244,633600,4246,85,4246,2678970,4247,633600,4249,90,4154,0,4250,0,4256,0
4340,1440000,4342,90,4019,3,4342,1440000,4347,88,4347,1440000,4349,90,4349,0,4350,1440000,4352,83,4352,633600,4355,91,4356,2531174,4356,633600,4358,100,4249,0,4359,0,4360,0
4440,1440000,4443,100,4036,3,4443,1440000,4445,80,4445,1440000,4447,90,4448,0,4449,1440000,4450,70,4456,633600,4458,100,4459,2495107,4459,633600,4461,100,4359,0,4462,0,4462,0
4541,1440000,4542,77,4141,3,4543,1440000,4545,88,4546,1440000,4547,70,4548,0,4548,1440000,4550,54,4550,633600,4552,100,4552,2173440,4552,633600,4555,90,4461,0,4556,0,4556,0
4642,1440000,4644,70,4237,3,4644,1440000,4646,54,4647,1440000,4648,100,4649,0,4649,1440000,4654,55,4654,633600,4656,100,4656,2092835,4657,633600,4659,100,4555,0,4659,0,4660,0
4742,1440000,4744,66,4342,3,4745,1440000,4747,66,4747,1440000,4751,90,4752,0,4752,1440000,4758,70,4758,633600,4761,77,4762,2152036,4762,633600,4764,72,4659,0,4765,0,4765,0
