App,Package,Start Time,Duration,Filename
"Messenger",com.facebook.orca,"Apr 19, 2017 @ 04:47:09 PM","27 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Mobile Data State",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1440000,2,25,2,0,3,1440000,5,25,6,1440000,8,20,9,0,10,1440000,15,4,15,633600,17,4,18,473745,18,633600,20,0,20,0,21,0,21,0,
101,1440000,103,50,103,0,104,1440000,107,50,107,1440000,109,44,110,0,111,1440000,113,20,113,633600,115,0,116,1034380,116,633600,118,0,109,0,119,0,119,0,
202,1440000,204,83,108,3,207,1440000,209,100,209,1440000,215,90,216,0,217,1440000,219,72,220,633600,222,40,222,2246115,223,633600,225,36,118,0,226,0,227,0,
302,1440000,304,87,124,3,305,1440000,307,77,308,1440000,310,50,314,0,315,1440000,317,25,317,633600,322,0,322,1570539,322,633600,325,0,225,0,325,0,326,0,
402,1440000,404,50,205,3,405,1440000,406,44,406,1440000,408,63,409,0,409,1440000,411,30,412,633600,414,11,414,1198732,414,633600,416,0,325,0,417,0,417,0,
503,1440000,505,41,305,3,506,1440000,508,40,509,1440000,511,22,512,0,513,1440000,515,18,515,633600,517,0,518,763171,518,633600,521,0,416,0,521,0,522,0,
605,1440000,607,14,404,3,607,1440000,609,22,610,1440000,612,40,613,0,613,1440000,619,30,620,633600,622,9,622,684342,622,633600,624,0,521,0,625,0,626,0,
705,1440000,710,60,505,3,713,1440000,715,63,715,1440000,717,90,718,0,719,1440000,721,40,721,633600,723,11,723,1615007,723,633600,725,10,624,0,726,0,726,0,
807,1440000,809,62,607,3,809,1440000,813,60,813,1440000,815,33,815,0,816,1440000,817,11,818,633600,819,0,819,1064528,820,633600,822,0,725,0,823,0,824,0,
907,1440000,909,40,711,3,910,1248000,912,10,912,1248000,914,10,915,0,915,1248000,917,8,918,633600,919,0,919,391924,920,633600,922,0,822,0,922,0,923,0,
