App,Package,Start Time,Duration,Filename
"WhatsApp",com.whatsapp,"Apr 19, 2017 @ 03:36:04 PM","49 sec",""

Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"Mobile Data State",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU3 Load [%]",Time  [ms],"Screen Brightness",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU5 Load [%]",Time  [ms],"Battery Power* [uW]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU6 Load [%]",Time  [ms],"Battery Status",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",
0,1440000,2,24,3,0,3,1440000,4,15,5,1440000,6,11,7,0,8,1440000,9,7,9,960000,11,7,11,480988,11,960000,13,7,13,0,14,0,14,0,
101,1440000,102,14,97,3,103,1440000,104,41,105,1440000,106,0,107,0,107,1440000,108,0,109,1248000,110,50,110,619228,110,1248000,111,25,98,0,112,0,112,0,
204,1248000,206,36,102,3,206,1248000,207,33,208,1248000,209,27,209,0,210,1248000,211,0,211,1248000,212,58,212,892674,213,1248000,214,45,111,0,214,0,215,0,
305,1248000,307,30,105,3,308,1248000,309,20,309,1248000,310,10,311,0,312,1248000,313,0,313,864000,314,0,315,523635,315,864000,316,0,214,0,317,0,317,0,
405,1248000,407,33,206,3,408,1248000,409,30,410,1248000,411,18,412,0,412,1248000,414,0,414,633600,416,20,416,439013,417,633600,418,0,316,0,419,0,420,0,
507,1248000,509,30,307,3,510,1248000,511,10,512,1248000,513,0,514,0,515,1248000,516,0,517,633600,518,10,518,217013,519,633600,521,20,418,0,522,0,522,0,
610,1248000,611,36,407,3,612,1248000,613,22,614,1248000,615,22,616,0,616,1248000,618,0,618,633600,620,9,620,449806,621,633600,622,10,521,0,623,0,624,0,
710,1248000,712,55,509,3,712,1248000,714,33,714,1248000,716,30,716,0,717,1248000,718,10,719,633600,720,10,721,673402,721,633600,722,20,622,0,723,0,724,0,
810,1248000,812,11,611,3,813,1248000,814,10,814,1248000,816,0,816,0,817,1248000,818,0,819,633600,820,0,820,139793,821,633600,822,10,723,0,823,0,823,0,
911,1248000,912,22,712,3,912,1248000,913,36,913,1248000,914,0,914,0,914,1248000,915,0,915,1248000,916,50,916,556129,917,1248000,917,10,822,0,918,0,918,0,
1012,1248000,1013,30,812,3,1014,1248000,1015,11,1015,1248000,1017,10,1017,0,1018,1248000,1019,0,1020,633600,1021,18,1022,335766,1022,633600,1025,10,917,0,1026,0,1026,0,
1113,1440000,1114,55,912,3,1115,1440000,1116,72,1117,1440000,1118,11,1119,0,1119,1440000,1121,0,1121,633600,1123,11,1124,907212,1124,633600,1126,20,1025,0,1127,0,1128,0,
1213,1440000,1215,55,1013,3,1216,1440000,1217,70,1218,1440000,1219,20,1220,0,1220,1440000,1223,10,1223,633600,1225,20,1225,1047747,1226,633600,1227,18,1127,0,1228,0,1228,0,
1314,1440000,1315,60,1114,3,1316,1440000,1317,11,1318,1440000,1319,66,1320,0,1320,1440000,1322,0,1322,633600,1323,0,1324,895645,1324,633600,1325,11,1227,0,1326,0,1326,0,
1414,1440000,1416,12,1215,3,1416,1440000,1418,11,1418,1440000,1419,100,1421,0,1421,1440000,1422,0,1423,633600,1424,0,1424,795071,1425,633600,1426,11,1325,0,1427,0,1428,0,
1515,1440000,1517,27,1315,3,1518,1440000,1519,20,1519,1440000,1521,100,1521,0,1522,1440000,1523,0,1524,633600,1525,0,1525,946444,1526,633600,1527,18,1427,0,1528,0,1529,0,
1616,1440000,1618,20,1416,3,1618,1440000,1620,0,1620,1440000,1622,36,1622,0,1623,1440000,1624,0,1625,633600,1626,0,1626,384762,1627,633600,1628,11,1527,0,1629,0,1630,0,
1717,672000,1719,36,1517,3,1719,672000,1721,40,1721,672000,1723,20,1723,0,1724,672000,1725,0,1726,633600,1727,0,1727,202758,1728,633600,1729,18,1628,0,1730,0,1731,0,
1818,960000,1821,60,1618,3,1821,960000,1823,22,1823,960000,1825,20,1826,0,1827,960000,1829,9,1829,633600,1831,0,1832,395994,1832,633600,1834,40,1729,0,1835,0,1835,0,
1924,1248000,1926,37,1719,3,1926,1248000,1928,36,1928,1248000,1929,33,1930,0,1930,1248000,1931,0,1932,864000,1933,27,1933,674057,1933,864000,1935,18,1834,0,1935,0,1936,0,
2024,1248000,2025,14,1821,3,2026,1248000,2027,12,2028,1248000,2029,0,2030,0,2030,1248000,2031,0,2032,864000,2033,22,2033,241221,2033,864000,2035,25,1935,0,2035,0,2036,0,
