Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],Mobile Data State,Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],Screen Brightness,Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Status,Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1440000,1,18,1,0,2,1440000,3,9,3,1440000,4,8,5,0,5,1440000,6,5,6,1248000,7,21,7,434763,8,1248000,9,31,9,0,10,0,10,0
101,1440000,102,62,53,3,103,1440000,104,37,104,1440000,105,40,106,0,106,1440000,107,20,107,1344000,108,70,109,1551449,109,1344000,110,72,54,0,110,0,111,0
201,1440000,203,40,63,3,203,1440000,205,10,205,1440000,206,18,207,0,207,1440000,209,9,209,864000,211,33,211,982955,211,864000,212,20,110,0,213,0,214,0
251,1248000,253,25,102,3,254,1248000,255,20,255,1248000,256,0,257,0,257,1248000,259,0,260,864000,261,40,261,391754,262,864000,263,20,213,0,263,0,264,0
352,1248000,354,22,203,3,354,1248000,355,10,356,1248000,357,0,357,0,358,1248000,359,0,359,864000,361,27,361,290666,361,864000,362,0,263,0,363,0,363,0
454,1248000,455,20,253,3,456,1248000,457,10,458,1248000,460,0,460,0,461,1248000,463,9,463,633600,465,11,465,213779,466,633600,467,9,362,0,468,0,468,0
554,1248000,556,37,354,3,556,1248000,557,45,558,1248000,560,20,560,0,561,1248000,562,0,563,633600,564,27,564,571793,565,633600,566,0,467,0,567,0,567,0
655,1248000,657,50,455,3,657,1248000,659,40,659,1248000,661,22,661,0,662,1248000,663,0,664,633600,665,20,665,593610,665,633600,667,10,566,0,667,0,668,0
756,1248000,757,10,556,3,758,1248000,759,0,760,1248000,761,9,762,0,762,1248000,764,0,764,633600,765,10,766,129819,766,633600,767,0,667,0,768,0,768,0
856,1248000,858,22,657,3,859,1248000,860,30,860,1440000,862,33,862,0,863,1440000,864,0,864,633600,866,11,866,486748,866,633600,868,0,767,0,869,0,869,0
957,1248000,959,30,757,3,960,1248000,962,20,962,1248000,964,10,964,0,965,1248000,966,9,966,633600,968,22,968,382676,968,633600,970,10,868,0,970,0,971,0
1057,1248000,1059,25,858,3,1060,1248000,1061,11,1062,1248000,1063,30,1064,0,1064,1248000,1065,0,1066,633600,1067,18,1067,378234,1068,633600,1069,0,970,0,1070,0,1070,0
1158,1248000,1160,25,959,3,1160,1248000,1161,11,1162,1248000,1163,0,1164,0,1164,1248000,1166,11,1166,633600,1167,11,1167,253675,1168,633600,1169,0,1069,0,1170,0,1170,0
1259,1248000,1260,12,1031,4,1261,1248000,1262,11,1263,1248000,1264,0,1265,0,1265,1248000,1267,9,1267,633600,1268,10,1268,177117,1269,633600,1270,0,1169,0,1271,0,1271,0
1359,1248000,1361,10,1059,4,1361,1248000,1363,20,1363,1248000,1365,0,1365,0,1366,1248000,1367,0,1367,633600,1369,18,1369,181169,1369,633600,1371,0,1270,0,1371,0,1372,0
1460,1248000,1461,22,1160,4,1462,1248000,1463,0,1464,1248000,1465,10,1465,0,1466,1248000,1467,0,1468,633600,1469,11,1469,178870,1469,633600,1471,0,1371,0,1471,0,1472,0
1561,787200,1562,54,1260,4,1563,787200,1565,30,1565,787200,1566,10,1567,0,1567,787200,1569,9,1569,633600,1571,18,1571,280836,1571,633600,1573,0,1471,0,1573,0,1574,0
1662,460800,1664,44,1361,4,1664,460800,1666,33,1666,460800,1668,10,1668,0,1669,460800,1670,10,1671,633600,1672,18,1672,139799,1673,633600,1674,0,1573,0,1675,0,1675,0
1764,787200,1765,50,1461,4,1766,787200,1768,10,1768,787200,1770,40,1770,0,1771,787200,1772,20,1773,633600,1775,11,1775,309706,1775,633600,1777,0,1674,0,1777,0,1778,0
1865,960000,1867,44,1562,4,1868,960000,1870,20,1871,960000,1873,33,1874,0,1874,960000,1876,44,1877,633600,1879,18,1879,494490,1879,633600,1881,10,1777,0,1883,0,1883,0
1965,672000,1967,66,1664,4,1967,672000,1968,40,1968,672000,1969,22,1969,0,1969,672000,1970,50,1970,1248000,1971,11,1971,412577,1971,1248000,1972,44,1881,0,1973,0,1973,0
2068,460800,2070,44,1766,4,2071,460800,2072,11,2073,460800,2074,0,2075,0,2075,460800,2077,16,2077,633600,2079,18,2079,330214,2079,633600,2081,0,1972,0,2082,0,2082,0
