Time  [ms],CPU1 Frequency [kHz],Time  [ms],CPU1 Load [%],Time  [ms],Mobile Data State,Time  [ms],CPU2 Frequency [kHz],Time  [ms],CPU2 Load [%],Time  [ms],CPU3 Frequency [kHz],Time  [ms],CPU3 Load [%],Time  [ms],Screen Brightness,Time  [ms],CPU4 Frequency [kHz],Time  [ms],CPU4 Load [%],Time  [ms],CPU5 Frequency [kHz],Time  [ms],CPU5 Load [%],Time  [ms],Battery Power* [uW],Time  [ms],CPU6 Frequency [kHz],Time  [ms],CPU6 Load [%],Time  [ms],Battery Status,Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%]
0,1440000,31,27,32,0,32,1440000,35,97,35,1440000,38,97,38,0,39,1440000,41,95,42,1536000,43,96,44,2667244,44,1536000,46,95,46,0,47,0,49,0
100,1440000,102,20,102,0,103,1440000,104,12,105,1440000,106,14,107,0,108,1440000,109,14,110,1824000,112,57,112,1580805,113,1824000,114,42,115,0,115,0,116,0
200,1248000,202,41,202,0,203,1248000,204,11,204,1248000,205,20,206,0,206,1248000,208,10,208,1824000,209,33,210,1113181,210,1824000,211,45,212,0,212,0,212,0
302,1440000,305,62,236,3,307,1440000,309,70,310,1440000,312,50,313,0,314,1440000,316,10,317,633600,319,20,320,1668596,321,633600,323,10,243,0,325,0,326,0
404,1440000,406,62,251,6,408,1440000,410,40,411,1440000,413,54,414,0,415,1440000,417,10,418,633600,420,22,421,1103100,422,633600,424,22,324,0,425,0,426,0
507,1440000,509,50,306,6,509,1440000,510,50,511,1440000,512,22,513,0,513,1440000,515,20,515,1248000,516,40,517,1133675,518,1248000,519,33,424,0,520,0,520,0
609,1440000,612,46,407,6,613,1440000,615,12,616,1440000,618,33,619,0,620,1440000,622,0,623,633600,624,0,625,738526,626,633600,628,27,519,0,629,0,629,0
710,1248000,713,40,509,6,714,1248000,716,27,717,1248000,719,11,720,0,721,1248000,724,0,724,633600,726,9,727,452105,728,1248000,729,27,628,0,730,0,730,0
811,1248000,813,22,542,3,815,1248000,817,20,818,1248000,820,10,821,0,822,1248000,824,0,825,633600,827,20,827,429039,828,633600,830,20,729,0,832,0,832,0
912,1440000,914,60,612,3,915,1440000,917,33,918,1440000,920,45,921,0,921,1440000,923,9,924,633600,926,0,926,962224,927,633600,929,27,831,0,931,0,931,0
1013,1440000,1015,33,713,3,1016,1440000,1018,50,1019,1440000,1021,25,1022,0,1023,1440000,1025,0,1025,633600,1030,25,1031,772349,1031,633600,1034,11,930,0,1035,0,1035,0
1114,1248000,1116,36,814,3,1117,1248000,1119,27,1119,1248000,1121,20,1122,0,1123,1248000,1125,0,1125,633600,1127,20,1128,468273,1128,633600,1130,30,1034,0,1132,0,1132,0
1215,1440000,1217,27,915,3,1218,1440000,1220,10,1221,1440000,1224,20,1224,0,1225,1440000,1227,0,1229,633600,1231,11,1231,431395,1232,633600,1234,9,1131,0,1235,0,1235,0
1316,960000,1318,12,1015,3,1319,960000,1321,11,1322,960000,1323,20,1324,0,1325,960000,1327,0,1328,633600,1329,27,1330,204296,1331,633600,1332,0,1234,0,1334,0,1334,0
1423,960000,1425,54,1116,3,1426,960000,1429,27,1432,960000,1434,0,1435,0,1435,960000,1436,0,1437,1248000,1438,20,1439,365679,1439,1248000,1441,20,1333,0,1441,0,1442,0
1525,787200,1526,60,1217,3,1527,787200,1528,50,1528,787200,1529,33,1529,0,1530,787200,1531,0,1531,1344000,1532,11,1532,507739,1533,1344000,1534,11,1441,0,1534,0,1535,0
1627,787200,1629,44,1318,3,1631,787200,1632,20,1633,787200,1635,27,1636,0,1636,384000,1638,0,1639,633600,1641,0,1641,282150,1642,633600,1644,16,1534,0,1645,0,1645,0
1728,600000,1731,28,1425,3,1732,600000,1734,40,1734,600000,1736,22,1737,0,1738,600000,1740,0,1740,633600,1742,0,1743,173852,1743,633600,1745,20,1644,0,1746,0,1747,0
1830,864000,1832,40,1526,3,1833,864000,1835,33,1836,864000,1837,30,1838,0,1839,864000,1840,10,1841,633600,1843,0,1843,350222,1844,633600,1846,11,1745,0,1847,0,1848,0
1932,960000,1934,33,1630,3,1935,1248000,1938,33,1939,1248000,1940,44,1941,0,1942,1248000,1944,9,1945,633600,1947,9,1947,572294,1948,633600,1950,20,1846,0,1951,0,1951,0
2032,1440000,2034,88,1731,3,2035,1440000,2037,66,2038,1440000,2040,50,2041,0,2041,1440000,2043,12,2044,633600,2045,55,2046,1493852,2047,633600,2049,36,1950,0,2050,0,2050,0
2132,1440000,2133,77,1833,3,2134,1440000,2135,63,2136,1440000,2137,66,2138,0,2138,1440000,2139,25,2140,1248000,2141,20,2142,1619822,2142,1248000,2143,50,2049,0,2144,0,2144,0
